Mohammad Taha Karbalaee Esmaeili - 40121803          محمد طاها کربلای اسمعیلی - ۴۰۱۲۱۸۰۳
program                       <PROGRAM_KW, ->
prg2                          <IDENTIFIER, 0>
;                             <SEMICOLON, ->
function                      <FUNCTION_KW, ->
avg                           <IDENTIFIER, 1>
(                             <LEFT_PA, ->
integer                       <INTEGER_KW, ->
m                             <IDENTIFIER, 2>
;                             <SEMICOLON, ->
integer                       <INTEGER_KW, ->
n                             <IDENTIFIER, 3>
;                             <SEMICOLON, ->
)                             <RIGHT_PA, ->
:                             <COLON, ->
real                          <REAL_KW, ->
integer                       <INTEGER_KW, ->
sum                           <IDENTIFIER, 4>
,                             <COMMA, ->
num                           <IDENTIFIER, 5>
;                             <SEMICOLON, ->
real                          <REAL_KW, ->
average                       <IDENTIFIER, 6>
;                             <SEMICOLON, ->
begin                         <BEGIN_KW, ->
sum                           <IDENTIFIER, 4>
:=                            <ASSIGN_OP, ->
0                             <INTEGER_NUMBER, 7>
;                             <SEMICOLON, ->
average                       <IDENTIFIER, 6>
:=                            <ASSIGN_OP, ->
0                             <INTEGER_NUMBER, 7>
;                             <SEMICOLON, ->
for                           <FOR_KW, ->
num                           <IDENTIFIER, 5>
:=                            <ASSIGN_OP, ->
m                             <IDENTIFIER, 2>
to                            <TO_KW, ->
n                             <IDENTIFIER, 3>
do                            <DO_KW, ->
sum                           <IDENTIFIER, 4>
:=                            <ASSIGN_OP, ->
sum                           <IDENTIFIER, 4>
+                             <ADD_OP, ->
num                           <IDENTIFIER, 5>
;                             <SEMICOLON, ->
average                       <IDENTIFIER, 6>
:=                            <ASSIGN_OP, ->
sum                           <IDENTIFIER, 4>
/                             <DIV_OP, ->
(                             <LEFT_PA, ->
n                             <IDENTIFIER, 3>
-                             <SUB_OP, ->
m                             <IDENTIFIER, 2>
+                             <ADD_OP, ->
1                             <INTEGER_NUMBER, 8>
)                             <RIGHT_PA, ->
;                             <SEMICOLON, ->
return                        <RETURN_KW, ->
average                       <IDENTIFIER, 6>
;                             <SEMICOLON, ->
end                           <END_KW, ->
begin                         <BEGIN_KW, ->
a                             <IDENTIFIER, 9>
:=                            <ASSIGN_OP, ->
avg                           <IDENTIFIER, 1>
(                             <LEFT_PA, ->
1                             <INTEGER_NUMBER, 8>
,                             <COMMA, ->
20                            <INTEGER_NUMBER, 10>
)                             <RIGHT_PA, ->
;                             <SEMICOLON, ->
end                           <END_KW, ->
